Totales Territoriales;Comunidades y Ciudades Autónomas;Ramas de actividad;Magnitud;periodo;Total
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2020;6,4
Total Nacional;04 Balears, Illes;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2019;5,3
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Valor;2021(P);775.341
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Valor;2020;739.139
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Valor;2019;843.963
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2021(P);4,9
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2020;-12,4
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2019;4,3
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Estructura porcentual;2021(P);2,6
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Estructura porcentual;2020;2,8
Total Nacional;04 Balears, Illes;C. - De las cuales: Industria manufacturera;Estructura porcentual;2019;2,5
Total Nacional;04 Balears, Illes;F. Construcción;Valor;2021(P);2.146.768
Total Nacional;04 Balears, Illes;F. Construcción;Valor;2020;2.151.854
Total Nacional;04 Balears, Illes;F. Construcción;Valor;2019;2.447.974
Total Nacional;04 Balears, Illes;F. Construcción;Tasas de variación interanuales;2021(P);-0,2
Total Nacional;04 Balears, Illes;F. Construcción;Tasas de variación interanuales;2020;-12,1
Total Nacional;04 Balears, Illes;F. Construcción;Tasas de variación interanuales;2019;12,5
Total Nacional;04 Balears, Illes;F. Construcción;Estructura porcentual;2021(P);7,1
Total Nacional;04 Balears, Illes;F. Construcción;Estructura porcentual;2020;8,2
Total Nacional;04 Balears, Illes;F. Construcción;Estructura porcentual;2019;7,2
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2021(P);8.306.374
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2020;5.772.632
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2019;11.077.494
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2021(P);43,9
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2020;-47,9
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2019;2,0
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2021(P);27,7
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2020;22,0
Total Nacional;04 Balears, Illes;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2019;32,6
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Valor;2021(P);570.190
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Valor;2020;538.044
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Valor;2019;575.767
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Tasas de variación interanuales;2021(P);6,0
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Tasas de variación interanuales;2020;-6,6
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Tasas de variación interanuales;2019;8,0
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Estructura porcentual;2021(P);1,9
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Estructura porcentual;2020;2,1
Total Nacional;04 Balears, Illes;J. Información y comunicaciones;Estructura porcentual;2019;1,7
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Valor;2021(P);1.011.843
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Valor;2020;1.000.235
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Valor;2019;966.589
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Tasas de variación interanuales;2021(P);1,2
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Tasas de variación interanuales;2020;3,5
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Tasas de variación interanuales;2019;-1,0
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Estructura porcentual;2021(P);3,4
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Estructura porcentual;2020;3,8
Total Nacional;04 Balears, Illes;K. Actividades financieras y de seguros;Estructura porcentual;2019;2,8
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Valor;2021(P);4.718.453
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Valor;2020;4.593.488
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Valor;2019;4.612.795
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Tasas de variación interanuales;2021(P);2,7
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Tasas de variación interanuales;2020;-0,4
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Tasas de variación interanuales;2019;3,3
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Estructura porcentual;2021(P);15,7
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Estructura porcentual;2020;17,5
Total Nacional;04 Balears, Illes;L. Actividades inmobiliarias;Estructura porcentual;2019;13,6
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2021(P);2.385.970
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2020;2.165.073
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2019;2.948.407
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2021(P);10,2
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2020;-26,6
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2019;5,0
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2021(P);7,9
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2020;8,3
Total Nacional;04 Balears, Illes;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2019;8,7
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2021(P);4.865.261
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2020;4.714.066
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2019;4.601.399
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2021(P);3,2
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2020;2,4
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2019;5,6
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2021(P);16,2
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2020;18,0
Total Nacional;04 Balears, Illes;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2019;13,6
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2021(P);1.205.438
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2020;1.146.714
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2019;1.574.026
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2021(P);5,1
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2020;-27,1
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2019;2,6
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2021(P);4,0
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2020;4,4
Total Nacional;04 Balears, Illes;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2019;4,6
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Valor;2021(P);27.170.811
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Valor;2020;23.905.508
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Valor;2019;30.777.649
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Tasas de variación interanuales;2021(P);13,7
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Tasas de variación interanuales;2020;-22,3
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Tasas de variación interanuales;2019;3,9
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Estructura porcentual;2021(P);90,5
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Estructura porcentual;2020;91,2
Total Nacional;04 Balears, Illes;Valor añadido bruto total;Estructura porcentual;2019;90,7
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Valor;2021(P);2.860.857
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Valor;2020;2.292.582
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Valor;2019;3.157.653
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Tasas de variación interanuales;2021(P);24,8
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Tasas de variación interanuales;2020;-27,4
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Tasas de variación interanuales;2019;1,5
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Estructura porcentual;2021(P);9,5
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Estructura porcentual;2020;8,8
Total Nacional;04 Balears, Illes;Impuestos netos sobre los productos;Estructura porcentual;2019;9,3
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2021(P);30.031.668
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2020;26.198.090
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2019;33.935.302
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2021(P);14,6
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2020;-22,8
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2019;3,6
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2021(P);100,0
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2020;100,0
Total Nacional;04 Balears, Illes;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2019;100,0
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2021(P);42.843.120
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2020;38.630.124
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Valor;2019;47.182.560
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2021(P);10,9
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2020;-18,1
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Tasas de variación interanuales;2019;3,0
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2021(P);100,0
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2020;100,0
Total Nacional;05 Canarias;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;Estructura porcentual;2019;100,0
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Valor;2021(P);731.538
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Valor;2020;709.396
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Valor;2019;737.601
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2021(P);3,1
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2020;-3,8
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Tasas de variación interanuales;2019;5,3
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2021(P);1,7
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2020;1,8
Total Nacional;05 Canarias;A. Agricultura, ganadería, silvicultura y pesca;Estructura porcentual;2019;1,6
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2021(P);2.723.630
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2020;2.529.123
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Valor;2019;2.700.676
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2021(P);7,7
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2020;-6,4
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Tasas de variación interanuales;2019;3,8
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2021(P);6,4
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2020;6,5
Total Nacional;05 Canarias;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Estructura porcentual;2019;5,7
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Valor;2021(P);1.176.939
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Valor;2020;1.115.416
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Valor;2019;1.266.692
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2021(P);5,5
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2020;-11,9
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Tasas de variación interanuales;2019;6,1
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Estructura porcentual;2021(P);2,7
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Estructura porcentual;2020;2,9
Total Nacional;05 Canarias;C. - De las cuales: Industria manufacturera;Estructura porcentual;2019;2,7
Total Nacional;05 Canarias;F. Construcción;Valor;2021(P);2.394.525
Total Nacional;05 Canarias;F. Construcción;Valor;2020;2.310.668
Total Nacional;05 Canarias;F. Construcción;Valor;2019;2.711.660
Total Nacional;05 Canarias;F. Construcción;Tasas de variación interanuales;2021(P);3,6
Total Nacional;05 Canarias;F. Construcción;Tasas de variación interanuales;2020;-14,8
Total Nacional;05 Canarias;F. Construcción;Tasas de variación interanuales;2019;10,8
Total Nacional;05 Canarias;F. Construcción;Estructura porcentual;2021(P);5,6
Total Nacional;05 Canarias;F. Construcción;Estructura porcentual;2020;6,0
Total Nacional;05 Canarias;F. Construcción;Estructura porcentual;2019;5,7
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2021(P);11.127.549
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2020;8.818.759
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Valor;2019;14.735.898
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2021(P);26,2
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2020;-40,2
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Tasas de variación interanuales;2019;1,6
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2021(P);26,0
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2020;22,8
Total Nacional;05 Canarias;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2019;31,2
Total Nacional;05 Canarias;J. Información y comunicaciones;Valor;2021(P);907.314
Total Nacional;05 Canarias;J. Información y comunicaciones;Valor;2020;890.943
Total Nacional;05 Canarias;J. Información y comunicaciones;Valor;2019;930.137
Total Nacional;05 Canarias;J. Información y comunicaciones;Tasas de variación interanuales;2021(P);1,8
Total Nacional;05 Canarias;J. Información y comunicaciones;Tasas de variación interanuales;2020;-4,2
Total Nacional;05 Canarias;J. Información y comunicaciones;Tasas de variación interanuales;2019;0,6
Total Nacional;05 Canarias;J. Información y comunicaciones;Estructura porcentual;2021(P);2,1
Total Nacional;05 Canarias;J. Información y comunicaciones;Estructura porcentual;2020;2,3
Total Nacional;05 Canarias;J. Información y comunicaciones;Estructura porcentual;2019;2,0
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Valor;2021(P);1.283.981
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Valor;2020;1.272.739
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Valor;2019;1.212.212
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Tasas de variación interanuales;2021(P);0,9
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Tasas de variación interanuales;2020;5,0
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Tasas de variación interanuales;2019;-1,9
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Estructura porcentual;2021(P);3,0
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Estructura porcentual;2020;3,3
Total Nacional;05 Canarias;K. Actividades financieras y de seguros;Estructura porcentual;2019;2,6
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Valor;2021(P);5.470.328
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Valor;2020;5.362.688
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Valor;2019;5.372.560
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Tasas de variación interanuales;2021(P);2,0
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Tasas de variación interanuales;2020;-0,2
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Tasas de variación interanuales;2019;2,6
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Estructura porcentual;2021(P);12,8
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Estructura porcentual;2020;13,9
Total Nacional;05 Canarias;L. Actividades inmobiliarias;Estructura porcentual;2019;11,4
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2021(P);3.000.688
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2020;2.754.741
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2019;3.432.266
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2021(P);8,9
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2020;-19,7
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2019;3,8
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2021(P);7,0
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2020;7,1
Total Nacional;05 Canarias;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2019;7,3
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2021(P);9.267.195
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2020;8.802.605
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2019;8.573.356
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2021(P);5,3
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2020;2,7
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2019;5,1
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2021(P);21,6
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2020;22,8
Total Nacional;05 Canarias;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2019;18,2
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2021(P);1.855.078
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2020;1.797.959
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2019;2.385.894
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2021(P);3,2
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2020;-24,6
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2019;1,0
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2021(P);4,3
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2020;4,7
Total Nacional;05 Canarias;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2019;5,1
Total Nacional;05 Canarias;Valor añadido bruto total;Valor;2021(P);38.761.826
Total Nacional;05 Canarias;Valor añadido bruto total;Valor;2020;35.249.621
Total Nacional;05 Canarias;Valor añadido bruto total;Valor;2019;42.792.260
Total Nacional;05 Canarias;Valor añadido bruto total;Tasas de variación interanuales;2021(P);10,0
Total Nacional;05 Canarias;Valor añadido bruto total;Tasas de variación interanuales;2020;-17,6
Total Nacional;05 Canarias;Valor añadido bruto total;Tasas de variación interanuales;2019;3,2
Total Nacional;05 Canarias;Valor añadido bruto total;Estructura porcentual;2021(P);90,5
Total Nacional;05 Canarias;Valor añadido bruto total;Estructura porcentual;2020;91,2
Total Nacional;05 Canarias;Valor añadido bruto total;Estructura porcentual;2019;90,7
Total Nacional;05 Canarias;Impuestos netos sobre los productos;Valor;2021(P);4.081.294
Total Nacional;05 Canarias;Impuestos netos sobre los productos;Valor;2020;3.380.503
Total Nacional;05 Canarias;Impuestos netos sobre los productos;Valor;2019;4.390.300
