Totales Territoriales;Comunidades y Ciudades Autónomas;Ramas de actividad;Magnitud;periodo;Total
Total Nacional;;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2020;18,3
Total Nacional;;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;Estructura porcentual;2019;21,5
Total Nacional;;J. Información y comunicaciones;Valor;2021(P);43.318.000
Total Nacional;;J. Información y comunicaciones;Valor;2020;40.259.000
Total Nacional;;J. Información y comunicaciones;Valor;2019;42.200.000
Total Nacional;;J. Información y comunicaciones;Tasas de variación interanuales;2021(P);7,6
Total Nacional;;J. Información y comunicaciones;Tasas de variación interanuales;2020;-4,6
Total Nacional;;J. Información y comunicaciones;Tasas de variación interanuales;2019;5,6
Total Nacional;;J. Información y comunicaciones;Estructura porcentual;2021(P);3,5
Total Nacional;;J. Información y comunicaciones;Estructura porcentual;2020;3,6
Total Nacional;;J. Información y comunicaciones;Estructura porcentual;2019;3,4
Total Nacional;;K. Actividades financieras y de seguros;Valor;2021(P);46.613.000
Total Nacional;;K. Actividades financieras y de seguros;Valor;2020;45.940.000
Total Nacional;;K. Actividades financieras y de seguros;Valor;2019;44.003.000
Total Nacional;;K. Actividades financieras y de seguros;Tasas de variación interanuales;2021(P);1,5
Total Nacional;;K. Actividades financieras y de seguros;Tasas de variación interanuales;2020;4,4
Total Nacional;;K. Actividades financieras y de seguros;Tasas de variación interanuales;2019;-1,3
Total Nacional;;K. Actividades financieras y de seguros;Estructura porcentual;2021(P);3,8
Total Nacional;;K. Actividades financieras y de seguros;Estructura porcentual;2020;4,1
Total Nacional;;K. Actividades financieras y de seguros;Estructura porcentual;2019;3,5
Total Nacional;;L. Actividades inmobiliarias;Valor;2021(P);133.896.000
Total Nacional;;L. Actividades inmobiliarias;Valor;2020;130.715.000
Total Nacional;;L. Actividades inmobiliarias;Valor;2019;130.503.000
Total Nacional;;L. Actividades inmobiliarias;Tasas de variación interanuales;2021(P);2,4
Total Nacional;;L. Actividades inmobiliarias;Tasas de variación interanuales;2020;0,2
Total Nacional;;L. Actividades inmobiliarias;Tasas de variación interanuales;2019;3,1
Total Nacional;;L. Actividades inmobiliarias;Estructura porcentual;2021(P);11,0
Total Nacional;;L. Actividades inmobiliarias;Estructura porcentual;2020;11,7
Total Nacional;;L. Actividades inmobiliarias;Estructura porcentual;2019;10,5
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2021(P);100.928.000
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2020;91.938.000
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2019;103.110.000
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2021(P);9,8
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2020;-10,8
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2019;7,5
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2021(P);8,3
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2020;8,2
Total Nacional;;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2019;8,3
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2021(P);211.221.000
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2020;206.700.000
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2019;205.729.000
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2021(P);2,2
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2020;0,5
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2019;4,4
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2021(P);17,3
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2020;18,5
Total Nacional;;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Estructura porcentual;2019;16,5
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2021(P);45.352.000
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2020;43.862.000
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Valor;2019;55.380.000
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2021(P);3,4
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2020;-20,8
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Tasas de variación interanuales;2019;2,0
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2021(P);3,7
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2020;3,9
Total Nacional;;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Estructura porcentual;2019;4,4
Total Nacional;;Valor añadido bruto total;Valor;2021(P);1.105.853.000
Total Nacional;;Valor añadido bruto total;Valor;2020;1.021.086.000
Total Nacional;;Valor añadido bruto total;Valor;2019;1.129.619.000
Total Nacional;;Valor añadido bruto total;Tasas de variación interanuales;2021(P);8,3
Total Nacional;;Valor añadido bruto total;Tasas de variación interanuales;2020;-9,6
Total Nacional;;Valor añadido bruto total;Tasas de variación interanuales;2019;3,7
Total Nacional;;Valor añadido bruto total;Estructura porcentual;2021(P);90,5
Total Nacional;;Valor añadido bruto total;Estructura porcentual;2020;91,2
Total Nacional;;Valor añadido bruto total;Estructura porcentual;2019;90,7
Total Nacional;;Impuestos netos sobre los productos;Valor;2021(P);116.437.000
Total Nacional;;Impuestos netos sobre los productos;Valor;2020;97.924.000
Total Nacional;;Impuestos netos sobre los productos;Valor;2019;115.894.000
